name;id;calories;proteins;fat;carbohydrate;serat;kalsium;fosfor;zat_besi;natrium;kalium;tembaga;seng;vitamin_a;provitamin_a;total_karotenoid;vitamin_b1;vitamin_b2;vitamin_b3;vitamin_c;bdd;url_image;indeks_glikemik;referensi_ig;status_pencocokan_ig;klasifikasi_ig
Caisin segar;198;20;1.7;0.4;3.4;1.2;123;40;1.9;18;358.2;0.05;1.4;0;60;278.75;0.04;0.19;0.6;3;100;https://images.tokopedia.net/img/cache/700/product-1/2020/4/5/5400804/5400804_d23967b7-039f-4904-97d8-6a303aae6628_1051_1051.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Cakalang asar (asap papua);199;155;20.1;3.8;10.2;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://indonesiakaya.com/wp-content/uploads/2020/10/Ikan_Asar_yang_sudah_matang_dan_siap_untuk_disajikan_atau_diolah_lagi_.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Cake tape;200;323;4.9;11.5;50.1;1.4;131;83;2.6;0;0;0;0;0;0;278.75;0.38;0.16;0.3;0;100;https://resepkoki.id/wp-content/uploads/2016/12/Resep-Bolu-Tape.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Cammetutu;201;102;3.2;6;8.7;4.3;41;93;0.5;225;518;0.3;0.7;0;60;0;0.3;0.3;0.4;12.5;100;https://1.bp.blogspot.com/-Zmr_06Y7tCo/Xgw2ac9m9JI/AAAAAAAAEwg/qTFriUUdEGUpqOfGkkxvlY5STGOXhlUiQCLcBGAsYHQ/s1600/Camme%2BTuttu.png;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Cantel mentah;202;366;11;3.3;73;1.2;28;287;4.4;7;249;0;0;0;0;0;0.09;0.14;2.8;0;100;https://nilaigizi.com/assets/images/produk/produk_1565757095.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Cap cai sayur;203;97;5.8;6.3;4.2;0.6;287;89;1.8;225;0;0;0;0;0;278.75;0.21;0;0;1;100;https://awsimages.detik.net.id/community/media/visual/2021/12/25/resep-capcay-kuah-kental.jpeg?w=1200;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Carica papaya segar;204;24;1.9;0.2;3.7;1;51;33;1.8;0;0;0;0;0;0;278.75;0.32;0.07;0;12.5;60;https://i0.wp.com/ygi.or.id/wp-content/uploads/2021/10/Manfaat-pepaya-www.ygi_.or_.id_.jpg?resize=678%2C381&ssl=1;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Cassavastick;205;460;0.8;18.7;17.2;1.6;144;58;7.5;0;0;0;0;0;0;107;0.19;0.07;0.1;0;100;https://img-global.cpcdn.com/recipes/28197e7ad5840e48/680x482cq70/cassava-cheese-stick-with-veggies-foto-resep-utama.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Cempedak;206;116;3;0.4;28.6;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://images.genpi.co/uploads/kalbar/arsip/normal/2022/07/15/buah-cempedak-foto-istockphotocom-n3j5.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Cengkeh kering;207;330;5.2;8.9;57.4;6.75;337.5;100;4.9;225;775;0.3;0;0;60;0;0;0;0;0;100;https://nilaigizi.com/assets/images/produk/produk_1537345513.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Centel;208;332;11;3.3;73;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://img.freepik.com/free-photo/heap-millet-seeds-dark-background_1150-38166.jpg?w=1060&t=st=1683885686~exp=1683886286~hmac=d9a1010ca20cfd33db12bc7a1c50098ab7bba4f439fd6de5ee690bc62d2f9230;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Ceriping getuk singkong;209;462;1.2;20.7;67.7;0.6;337.5;172;8.2;0;0;0;0;0;0;152;0.29;0.02;0.5;0;100;https://cf.shopee.co.id/file/ee6c6b19853ec0734ceff90d980e685c;75;Atkinson et al. (2008);partial→singkong;Tinggi
Chicken teriyaki masakan;210;168;13;9.6;7.5;0.8;137;106;3.1;225;0;0;0;0;0;278.75;0.555;0;0;0;100;https://img-global.cpcdn.com/recipes/ff7dc38da72458fa/680x482cq70/ayam-teriyaki-ala-hokben-foto-resep-utama.jpg;0;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tidak signifikan (non-karbohidrat)
Chikiniku masakan;211;143;9.8;1.4;22.8;0.4;301;63;2;225;0;0;0;0;0;278.75;0.555;0;0;0;100;https://drive.google.com/file/d/1LZOGoU3M3XcPbU5_HaAZ26ybCTbiTXpT/view?usp=sharing;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Coklat bubuk;212;311;8;4;48.9;6.75;125;440;8.2;0;0;0;0;0;0;30;0.12;0;0.6;0;100;https://static.sehatq.com/content/review/image/1622196432.jpeg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Coklat Manis batang;213;472;2;29.8;62.7;6.5;63;287;2.8;6;499.5;0;0;0;0;30;0.03;0.02;0;0;100;https://www.mampu.or.id/wp-content/uploads/2022/10/6007a9065cace.jpeg;55;Amalia et al. (2011) dalam Arif et al. (2013);token(manis)→jagung manis;Sedang
Coklat Pahit batang;214;504;5.5;52.9;29.2;6.75;98;440;4.4;20;708.3;0.75;2.5;0;2;60;0.05;0.08;1;0;100;https://nilaigizi.com/assets/images/produk/produk_1535873875.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Coklat Susu batang;215;381;9;35;53.6;3.4;200;200;2;100;405.5;0.49;2.3;0;54;30;0.08;0.3;0.5;0;100;https://www.nyonyor.com/wp-content/uploads/2018/11/Harga-Coklat-Batangan-Terbaru-540x350.jpg;31;Atkinson et al. (2008);partial→susu;Rendah
Combro ;216;210;1.6;6.6;35.8;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://assets.suaramerdeka.com/crop/7x38:699x495/750x500/webp/photo/2021/11/01/2899515089.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Corned Beef;217;241;16;25;0;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://www.jessicagavin.com/wp-content/uploads/2023/03/corned-beef-hash-15-1200.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Coto mangkasara kuda masakan;218;96;6.8;5.9;3.8;0;11;106;2.3;96;31;0.1;1;0;0;0;0.23;0.14;3.5;0;100;https://eljohnnews.com/wp-content/uploads/2018/08/Wisata-Kuliner-Coto-Makassar.png;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Coto mangkasara sapi masakan;219;84;6;6;1.4;0;8;104;4;90;25;0.3;0.6;0;0;0;0.16;0.14;0;0;100;https://asset.kompas.com/crops/ljY1r3f3HJaNEuLip3iARQOaK-E=/0x1226:3000x3226/750x500/data/photo/2021/06/11/60c2acf88c6f0.jpg;31;Atkinson et al. (2008);token(sapi)→susu sapi;Rendah
Cue Selar Kuning;220;145;27;2.3;0;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/8/14/a5d8db60-6ecb-4ddc-9375-7d0e6c35ad79.jpg;75;Atkinson et al. (2008);token(kuning)→labu kuning;Tinggi
Cuka;221;12;0.1;0.1;5;0;7;10;0.5;21;37.8;0;0;0;0;0;0.24;0;0.7;0;100;https://images.bisnis.com/posts/2021/02/01/1350454/cuka.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Cumi-cumi goreng;222;265;40.6;10.1;0;0;62;270;2.7;86;81.9;0;0;0;56;0;0.09;0;3.5;0;100;https://i0.wp.com/resepmasakandapurarie.com/wp-content/uploads/2014/09/Resep-Cumi-Goreng-Tepung-Crispy-.jpg;40;Atkinson et al. (2008);partial→mi goreng;Rendah
Cumi-cumi segar;223;75;16.1;0.7;0.1;0;32;200;1.8;37;204.1;0.75;1.3;0;20;0;0.08;0;2.5;0;100;https://www.malang-guidance.com/wp-content/uploads/2018/02/Supplier-Cumi-Segar-Malang.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→cumi;Tidak signifikan (non-karbohidrat)
Daging Anak Sapi;224;190;19.1;12;0;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://media.istockphoto.com/id/1138359907/id/foto/daging-escalope-potongan-daging-mentah.jpg?s=612x612&w=0&k=20&c=z5mFkMyiVftjcWw5Ll8ghKdWcK0k6byDA6azNQXr7R8=;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(daging)→daging sapi;Tidak signifikan (non-karbohidrat)
Daging Asap;225;191;32;6;0;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://asset.kompas.com/crops/hysnw0J-U1aA8CzBNW5j_uEC3s8=/0x476:1080x1196/750x500/data/photo/2022/03/22/6239bc36b14f4.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(daging)→daging sapi;Tidak signifikan (non-karbohidrat)
Daging Babi Gemuk;226;457;11.6;45;0;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://assets.pikiran-rakyat.com/crop/0x53:1280x855/x/photo/2020/05/11/151297858.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(daging)→daging sapi;Tidak signifikan (non-karbohidrat)
Daging Babi Kurus;227;376;14.1;35;0;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://png.pngtree.com/thumb_back/fw800/background/20220318/pngtree-photo-of-fresh-pork-and-lean-meat-image_1019860.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(daging)→daging sapi;Tidak signifikan (non-karbohidrat)
Daging Domba;228;206;17.1;14.8;0;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://news.unair.ac.id/wp-content/uploads/2020/10/Daging-Domba.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(daging)→daging sapi;Tidak signifikan (non-karbohidrat)
Daging Kambing;229;154;16.6;9.2;0;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://imgx.parapuan.co/crop/0x0:0x0/x/photo/2021/07/20/istock-538918713jpg-20210720042557.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;exact;Tidak signifikan (non-karbohidrat)
Daging Kerbau;230;84;18.7;0.5;0;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://awsimages.detik.net.id/community/media/visual/2016/07/15/209987a0-2b65-461e-aec5-e7432a4012f2_169.jpg?w=700&q=90;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(daging)→daging sapi;Tidak signifikan (non-karbohidrat)
Daging Kuda;231;118;18.1;4.1;0.9;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://awsimages.detik.net.id/community/media/visual/2021/07/29/fakta-daging-kuda-2.jpeg?w=724;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(daging)→daging sapi;Tidak signifikan (non-karbohidrat)
Daging Sapi;232;207;18.8;14;0;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://asset.kompas.com/crops/loXNzgMXFEX_3avDpy_53_3rXsU=/1x0:1000x666/750x500/data/photo/2021/07/14/60ee601a87545.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;exact;Tidak signifikan (non-karbohidrat)
Daun bangun-bangun segar;233;27;1.3;0.6;4;1;279;40;8.2;4;144;0;0;0;60;278.75;0.16;0.1;0;5;66;https://assets-a1.kompasiana.com/items/album/2021/11/23/bangun-bangun-bks-619c4900c26b7758a7749f33.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun Bawang;234;29;1.8;0.7;5.2;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://asset.kompas.com/crops/u8jpueVME4sJk32KP-0Rnjg9o1I=/479x0:1500x681/750x500/data/photo/2022/05/07/6275586c1ce7d.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun bawang  merah segar;235;41;2;0.3;7.8;2.1;60;40;2.3;30;90;0.1;0.3;0;60;0;0.1;0.1;0.2;11;67;https://media.istockphoto.com/id/597675376/id/foto/daun-bawang-merah-segar.jpg?s=1024x1024&w=is&k=20&c=vjx8lvI9LQGkXe24K8FT_GTriW-k3B1azWaSWpAiQwY=;55;Atkinson et al. (2008);token(merah)→nasi merah;Sedang
Daun bebuas segar;236;41;2.7;1;7.3;2.1;29;245;1.5;0;0;0;0;0;0;278.75;0.01;0;0;3;49;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/3/26/eb897228-88e3-49ce-8fad-40ba10721e37.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun belem segar;237;50;4.4;1.4;7.8;1.9;337.5;151;7.5;0;0;0;0;0;0;278.75;0.05;0;0;12.5;81;https://lzd-img-global.slatic.net/g/p/92f6ecf8d15adbd5af6f3045c6bf6bbb.jpg_720x720q80.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun Beluntas;238;42;1.8;0.5;9.4;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://res.cloudinary.com/dk0z4ums3/image/upload/v1616413651/attached_image/5-manfaat-daun-beluntas-untuk-kesehatan.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun Cincau;239;122;6;1;26;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://cdns.klimg.com/merdeka.com/i/w/news/2020/09/04/1216320/content_images/670x335/20200904010226-2-ilustrasi-cincau-perdu-premna-oblongifolia-001-tantri-setyorini.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun Gandaria;240;60;3.1;0.3;14;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://www.socfindoconservation.co.id/asset/plant/701-1-pterospermum-javanicum.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun gedi besar segar;241;58;2.9;0.7;10;3.3;337.5;100;1.9;30;40;0.2;2.1;0;60;0;0.4;0.3;2.8;11;65;https://cdns.klimg.com/merdeka.com/i/w/news/2020/10/13/1231070/content_images/670x335/20201013233812-2-ilustrasi-daun-gedi-001-tantri-setyorini.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun gelang segar;242;30;1.3;0.7;5.8;1.3;337.5;210;8.2;5;333.3;0.31;1.2;0;60;278.75;0.01;0.14;0.7;1;52;https://images.tokopedia.net/img/cache/700/product-1/2018/1/9/12396679/12396679_0dc228fb-e120-4f24-9d2e-da5123ba2f53_500_443.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun gunda bali segar;243;50;4.6;0.9;7;1.4;167;62;0.5;0;0;0;0;0;0;278.75;0.05;0;0;12.5;49;https://www.satuharapan.com/uploads/pics/news_77177_1515750542.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun gunda serang segar;244;62;4.2;0.9;9.2;1.3;171;64;0.6;0;0;0;0;0;0;278.75;0.02;0;0;12.5;47;https://www.satuharapan.com/uploads/pics/news_77177_1515750542.jpgg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun Jambu Mete muda;245;73;4.6;0.5;16.2;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/6/12/d3d20ad6-e9fc-4656-9ad4-6ce95d19d6a4.jpg;19;Nainggolan & Adimunca (2005) dalam Arif et al. (2013);partial→jambu;Rendah
Daun jampang segar;246;34;3.8;0.5;5.3;1.4;21;245;1;0;0;0;0;0;0;278.75;0.03;0;0;3;47;https://lzd-img-global.slatic.net/g/ff/kf/S414251a362064f0283c21a801e20329ci.jpg_720x720q80.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun jawaw seluang segar;247;93;5;1.3;15.3;3.9;146;103;5.3;2;434;0.5;1.5;0;0;0;0.1;0.3;0;9;100;https://thumb.antvklik.com/images/thumbs/2022/11/28/638495d5b1931-daun-singkong_antvklik_1265_711.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun jonghe segar;248;27;2.1;0.7;4.4;2;253;192;8.2;0;0;0;0;0;0;278.75;0.01;0;0;1;45;https://images.tokopedia.net/img/cache/700/VqbcmM/2021/12/28/698aba7a-5d6b-4adc-be53-9088d5c02d4c.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun kacang ma segar;249;36;2.9;0.6;6.8;1.8;64;220;2.2;7;485.3;0.2;0.3;0;60;278.75;0.04;0.18;1.2;4;33;https://cdns.klimg.com/merdeka.com/i/w/news/2020/06/30/1193302/540x270/6-manfaat-daun-kacang-panjang-untuk-kesehatan-melancarkan-asi-hingga-cegah-anemia.jpg;15;Atkinson et al. (2008);partial→kacang;Rendah
Daun Kacang Panjang;250;34;4.1;0.4;5.8;2.4;133;220;4;6;69.2;0.27;1.2;0;0;0;0.18;0.07;0.7;0;100;https://assets-a2.kompasiana.com/items/album/2015/06/11/143403317310358818361.JPG?t=o&v=500;15;Waspadji et al. (2003);partial→kacang panjang;Rendah
Daun Kacang Panjang kukus;251;40;3.7;0.3;8;1.8;111;66;3.7;6;419.5;0.2;0.3;0;60;278.75;0.15;0.2;0.9;11;100;https://img-global.cpcdn.com/recipes/4ec6b371c573cabe/680x482cq70/sayur-bobor-lembayung-daun-kacang-panjang-foto-resep-utama.jpg;15;Waspadji et al. (2003);partial→kacang panjang;Rendah
Daun kacang panjang segar;252;30;3.1;0.3;5.8;1.7;200;66;4.5;7;458.6;0.2;0.3;0;60;278.75;0.33;0.2;1.1;12.5;65;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/2/4/5c0dd4cf-a160-41ef-8b53-d6fe2c574194.jpg;15;Waspadji et al. (2003);partial→kacang panjang;Rendah
Daun kasbi/singkong karet segar;253;92;4;3.6;10.9;5.8;140;70;1.6;70;90;0.3;1.1;0;60;0;0.1;0.2;0.1;12.5;87;https://s1.bukalapak.com/img/63611371791/large/data.jpeg;75;Atkinson et al. (2008);partial→singkong;Tinggi
Daun Katuk;254;59;4.8;1;11;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://sikia.unair.ac.id/wp-content/uploads/2022/04/daunkatuk.png;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun katuk rebus;255;53;5.3;0.9;9.1;1.2;185;102;3.1;16;291.3;0.3;1.3;0;60;278.75;0;0.3;2.2;12.5;100;https://img-global.cpcdn.com/recipes/68161cf2088797fc/680x482cq70/rebus-daun-katuk-foto-resep-utama.jpg;75;Atkinson et al. (2008);token(rebus)→singkong rebus;Tinggi
Daun katuk segar;256;59;6.4;1;9.9;1.5;233;98;3.5;21;478.8;0.3;1.3;0;60;278.75;0;0.3;2.3;0;40;https://images.tokopedia.net/img/cache/500-square/product-1/2018/11/8/1626651/1626651_18da08cc-9923-436e-9efe-69934ac75af0_700_393.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun Kecipir;257;47;5;0.5;8.5;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://1.bp.blogspot.com/-moRYlTt2bEM/X9bjZhiWvSI/AAAAAAAAD_c/nVwXkhZK_00JrQf6hOIrTdhb3J_Ci30cQCLcBGAsYHQ/s1055/Psophocarpus%2Btetragonolobus%2BKecipir%2B19.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun Kedondong;258;59;2.8;0.3;13.4;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/1/3/24b383ed-0957-44ff-a84e-63251c4d77ed.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun Kelor;259;82;6.7;1.7;14.3;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://diskes.badungkab.go.id/storage/diskes/image/WhatsApp%20Image%202023-01-30%20at%2013.55.59.jpeg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun Kelor rebus;260;61;6.1;0.9;10;0.9;255;36;2.1;45;181.2;0.1;0.6;0;60;278.75;0.1;0.1;3.5;12.5;100;https://img-global.cpcdn.com/recipes/ed600b784cb28839/680x482cq70/daun-kelor-rebus-foto-resep-utama.jpg;75;Atkinson et al. (2008);token(rebus)→singkong rebus;Tinggi
Daun Kemangi;261;46;4;0.5;8.9;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2021/11/01025747/ini-4-manfaat-daun-kemangi-yang-jarang-diketahui-halodoc.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun kenikir segar;262;45;3.7;0.5;6.6;5.8;328;65;2.7;6;431;0.1;0.6;0;60;12;0.5;0.3;3.5;0;36.3;https://assets.ayobandung.com/crop/0x0:0x0/750x500/webp/photo/2022/12/18/1000776031.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun kesum segar;263;48;4.5;0.8;9.1;1.6;125;142;2.6;11;174.7;0.4;1.2;0;60;278.75;0.01;0.1;1.6;4;53;https://id-test-11.slatic.net/p/764fec8a7c2b4aab6a2355fc945e85c7.png;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun kol sawi segar;264;22;2.1;0.5;3.6;0.9;200;92;3.2;19;386.2;0.1;0.2;0;60;278.75;0.03;0.2;0.6;3;87;https://asset.kompas.com/crops/MsuwGORqaxVW-qpj97DoEK4RTLs=/293x0:1145x568/780x390/data/photo/2021/09/27/61517629bbd33.jpg;10;Atkinson et al. (2008);partial→kol;Rendah
Daun Koro;265;23;3;0.3;3.7;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://tanamankoropedang.files.wordpress.com/2011/10/bunga-koro-pedang41.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun kubis segar;266;51;2.5;1.1;8;3.4;100;50;3.4;50;100;0.75;0.6;0;60;0;0.4;0.1;0.2;12.5;75;https://nilaigizi.com/assets/images/produk/produk_1599051215.jpg;10;Atkinson et al. (2008);partial→kubis;Rendah
Daun Kumak;267;14;1.3;0.3;2.3;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://blog.kuranesia.com/wp-content/uploads/2020/12/siomak-makanan-kura-kura-1024x768.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun Labu Siam;268;60;4;0.4;4.7;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://aksikata.com/wp-content/uploads/2019/05/daun-labu-siam.jpg;75;Atkinson et al. (2008);partial→labu;Tinggi
Daun Labu Waluh;269;30;3.6;0.6;4.5;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://www.parenting.co.id/img/images/B1.jpg;75;Atkinson et al. (2008);partial→labu;Tinggi
Daun lamtoro segar;270;87;8.3;1.8;14.4;3.3;337.5;174;3.9;10;197.7;0.5;1.4;0;60;278.75;0;0.1;2.3;12.5;40;https://images.tokopedia.net/img/cache/700/product-1/2019/8/18/2557427/2557427_56747d87-c701-4023-80e8-2afe684f3653_480_480.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun leilem segar;271;76;2.8;0.2;15.8;3.1;296;22;3.4;6;46;0.5;1.1;0;60;0;0.3;0.1;2.5;12.5;90;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/9/25/83b72d5f-d787-44e2-8948-a39c39825c37.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun Leunca;272;45;4.7;0.5;8.1;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://www.bengkuluinteraktif.com/sites/default/files/articles/Pucuk%20Lumai.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun Lobak;273;30;2.3;0.4;5.8;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://cms.sehatq.com/public/img/article_img/9-manfaat-daun-lobak-yang-tidak-diduga-duga-1606467271.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun Lompong Tales;274;40;3;0.8;7.4;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://akcdn.detik.net.id/visual/2015/02/24/8175622a-42e8-494b-a380-e9a910f492bc_169.jpg?w=650;65;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Daun Mangkokan;275;54;3.7;0.3;11.8;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://i0.wp.com/resepkoki.id/wp-content/uploads/2017/08/daun-mangkokan-sajian-sedap.jpg?fit=960%2C631&ssl=1;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun matel ambon segar;276;71;6.8;1.6;11.5;4.6;93;95;8.2;0;0;0;0;0;0;49;0.08;0;0;12.5;100;https://i.ytimg.com/vi/lPwmWQFW8nU/maxresdefault.jpg;59;Waspadji et al. (2003);token(ambon)→pisang ambon;Sedang
Daun Melinjo;277;99;5;1.3;21.3;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://goleksayur.com/data/images/product/IMG10160.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun Mengkudu Kukus;278;63;3.8;1.5;11.5;2.4;300;43;6;0;0;0;0;0;2;278.75;0.08;0.1;3.5;11;100;https://img-global.cpcdn.com/recipes/49833231f339c1b4/680x482cq70/pilas-pindang-daun-mengkudu-foto-resep-utama.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun ndusuk segar;279;166;1.7;0.5;38.8;6.75;40;20;1.8;40;310;0.2;0.7;0;60;0;0.4;0.1;0.1;12.5;100;https://ngkiong.com/wp-content/uploads/2020/12/senggani-1-e1609032934136.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Daun Oyong;280;22;1;0.1;5.3;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://arafuru.com/wp-content/uploads/2014/08/menanam-gambas-agar-tumbuh-subur.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
